OBJECTID,Rijksmonumentnummer,Gchw_nr,Gemeente,Plaats,Straat,Huisnummer,Toevoeging,Postcode,PHT,Opmerking,Type_object,Functie,Status,Waardering,Datum_pl,Bouwjaar_v,Bouwjaar_t,Datum_inv,Hoofd_object,Aanvullende_informatie,X_Coordinaat,Y_Coordinaat,URL_biotoop,Biotoop,Molens_hoofdstypen
"16222",0,21308,Ubbergen,Beek,Rijksstraatweg,"109", ,6573CK,6573CK109, ,woonhuis,woonfunctie,gemeentelijk monument,middenkwaliteit,26-6-2001,"1875","1900", , , ,191570,427150,,Biotoop,
"16234",0,21426,Ubbergen,Beek,Rijksstraatweg,"107", ,6573CK,6573CK107,Bij,hekwerk,territoriale functie,gemeentelijk monument,middenkwaliteit,23-6-1996,"1900","1925", , , ,191552,427165,,Biotoop,
"16391",0,21262,Ubbergen,Ooij,Hezelstraat, , , , , ,trafohuisje,nutsfunctie,gemeentelijk monument,middenkwaliteit,18-4-1989,"1925","1935", , , ,191362,430340,,Biotoop,
"15788",0,21289,Ubbergen,Beek,"Holleweg, Oude","6", ,6572AB,6572AB6, ,woonhuis,woonfunctie,gemeentelijk monument,middenkwaliteit,21-3-1989,"1875","1925", , , ,191560,426578,,Biotoop,
"16835",0,3253,Arnhem,Arnhem,Klarendalseweg,"496", ,6822GX,6822GX496, ,woonhuis,woonfunctie,gemeentelijk monument,middenkwaliteit,11-11-1997,"1896","1897", , , ,191399,444385,,Biotoop,
"151",0,17108,Lingewaard,Huissen,Middelwaard,"2", ,6924SE,6924SE2,Bij,varkensschuur,agrarische functie,gemeentelijk monument,middenkwaliteit, ,"1850","1875", , , ,195001,438133,,Biotoop,
"17",0,18130,Duiven,Loo,Loostraat,"17", ,6924AB,6924AB17, ,woonhuis,woonfunctie,gemeentelijk monument,middenkwaliteit, ,"1865","1875", , , ,196928,438325,,Biotoop,
"4902",0,17032,Westervoort,Westervoort,"Schans, De", , , , ,gelegen op de rechteroev,schans,defensiefunctie,gemeentelijk monument,middenkwaliteit, ,"1953", , , , ,195100,439465,,Biotoop,
"5126",0,18131,Duiven,Loo,Loostraat,"40", ,6924AG,6924AG40, ,boerderij,agrarische functie,gemeentelijk monument,middenkwaliteit, ,"1825","1850", , , ,196185,438165,,Biotoop,
"7158",38848,22436,Westervoort,Westervoort,Klapstraat,"130", ,6931CN,6931CN130, ,T-boerderij,agrarische functie,rijksmonument,hoge kwaliteit, ,"1500","1700", , , ,195121,441041,,Biotoop,
"9910",0,18120,Duiven,Duiven,"Dorth tot Medlerstraat,","43", ,6921AW,6921AW43, ,burgemeesterswoning,woonfunctie,gemeentelijk monument,middenkwaliteit, ,"1895","1905", , , ,197921,439925,,Biotoop,
"9911",0,18132,Duiven,Loo,Loostraat,"43", ,6924AC,6924AC43, ,woonhuis,woonfunctie,gemeentelijk monument,middenkwaliteit, ,"1725","1750", , , ,196365,438143,,Biotoop,
"8986",0,17070,Lingewaard,Huissen,Middelwaard,"2", ,6924SE,6924SE2, ,T-boerderij,agrarische functie,gemeentelijk monument,middenkwaliteit, ,"1850","1875", , , ,194977,438143,,Biotoop,
